Site;Location;Lattitude;Longitude;MAT;MAP;elevation;participation;Label;Block;Treatment;VegetationOG
wh.ch;Davos;46.772.451;9.859.202;-1.85;1657.3;2296;11;Wh-ch-OTC-7-4;9;OTC;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-cont-2;2;C;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-cont-3;3;C;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-cont-4;4;C;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-cont-5;5;C;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-cont-6;6;C;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-OTC-2;2;OTC;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-OTC-3;3;OTC;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-OTC-4;4;OTC;heath
ko.gl;Kobbefjord;6.413.328.906;-5.134.375.803;-3.35;1146.3;27;17;Ko-gl-OTC-5;5;OTC;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-1-2 WC;10;OTC;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-3-2-WC;11;OTC;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-4-3-WC;12;OTC;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-6-3WC;13;OTC;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-7-4-WC;14;OTC;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-cont-1-3;15;C;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-cont-3-1;16;C;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-cont-4-4;17;C;heath
wl.ch;Davos;467.709;9.872.892;-0.25;1627.6;2033;11;Wl-ch-cont-7-2;18;C;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-OTC-1;1;OTC;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-OTC-2;2;OTC;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-OTC-3;3;OTC;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-OTC-4;4;OTC;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-OTC-5;5;OTC;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-cont-1;1;C;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-cont-2;2;C;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-cont-3;3;C;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-cont-4;4;C;heath
ki.fi;Kilpisjärvi;69.4;20.49;-4.35;1247.7;670;31;Ki-fi-cont-5;5;C;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T42AFO;2;C;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T42WFO;2;OTC;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T43AFO;3;C;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T43WFO;3;OTC;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T44AFO;4;C;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T44WFO;4;OTC;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T45AFO;5;C;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T45WFO;5;OTC;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T46AFO;6;C;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T46WFO;6;OTC;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T47AFO;7;C;heath
yk.up;Yukon;61.44;-165.44;-1.35;742.4;70;3;Yk-up-T47WFO;7;OTC;heath
fn.pa.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-pa-no-cont-3P;3;C;wet tundra
fn.pa.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-pa-no-cont-4P;4;C;wet tundra
fn.pa.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-pa-no-cont-BP;2;C;wet tundra
fn.pa.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-pa-no-cont-1P;1;C;wet tundra
fn.pa.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-pa-no-OTC-4P;4;OTC;wet tundra
fn.pa.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-pa-no-OTC-BP;2;OTC;wet tundra
fn.pa.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-pa-no-OTC-3P;3;OTC;wet tundra
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-cont-1-3;1;C;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-cont-2-6;2;C;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-cont-3-6;3;C;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-cont-4-5;4;C;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-cont-6-2;6;C;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-cont-7-1;7;C;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-OTC-1-4;1;OTC;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-OTC-2-1;2;OTC;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-OTC-3-3;3;OTC;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-OTC-4-2;4;OTC;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-OTC-6-4;6;OTC;snowbed
sk.no;Skjelingahaugen;6.093.846.934;6.438.079.597;1.25;2870.2;1006;9;Sk-no-OTC-7-5;7;OTC;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-cont-2-2;2;C;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-cont-3-1;3;C;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-cont-3-2;3;C;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-cont-1-1;1;C;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-cont-4-1;4;C;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-OTC-1-1;1;OTC;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-OTC-1-2;1;OTC;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-OTC-2-1;2;OTC;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-OTC-3-1;3;OTC;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-OTC-3-2;3;OTC;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-OTC-4-1;4;OTC;snowbed
ad.ad;Andorra;4.261.678;148.186;0.55;1560.4;2535;8;Ad-ad-OTC-4-2;4;OTC;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-cont-1-1;1;C;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-cont-3-1;3;C;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-cont-3-2;3;C;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-cont-4-1;4;C;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-cont-4-2;4;C;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-OTC-1-1;1;OTC;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-OTC-3-1;3;OTC;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-OTC-2-1;2;OTC;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-OTC-3-2;3;OTC;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-OTC-4-1;4;OTC;snowbed
pc.fr;PasdelaCasa;4.254.292.957;1.735.633.156;3.05;1209.8;2093;8;Pc-fr-OTC-4-2;4;OTC;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-cont-1-1;1;C;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-cont-2-1;2;C;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-cont-2-2;2;C;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-cont-3-1;3;C;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-cont-3-2;3;C;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-cont-4-1;4;C;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-OTC-1-1;1;OTC;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-OTC-2-1;2;OTC;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-OTC-2-2;2;OTC;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-OTC-3-1;3;OTC;snowbed
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-OTC-4-2;4;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-1-1;1;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-1-2;1;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-2-1;2;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-2-2;2;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-3-1;3;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-4-1;4;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-4-2;4;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-1-1;1;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-1-2;1;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-2-2;2;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-3-1;3;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-3-2;3;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-4-1;4;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P1;1;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P2;2;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P3;3;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P4;4;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P1;1;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P2;2;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P5;5;C;snowbed
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-S1;1;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P3;3;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P4;4;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P5;5;OTC;snowbed
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-OTC-BM;7;OTC;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-OTC-3M;5;OTC;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-OTC-4M;6;OTC;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-cont-3M;5;C;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-cont-4M;6;C;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-cont-BM;7;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T22AFO;2;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T22WFO;2;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T23AFO;3;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T23WFO;3;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T24AFO;4;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T24WFO;4;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T25AFO;5;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T25WFO;5;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T26AFO;6;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T26WFO;6;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T27AFO;7;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T27WFO;7;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-17;3;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-9;4;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-1;5;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-15;6;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-1;1;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-13;2;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-9;8;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-5;7;OTC;wet tundra
